dialogue_id,group,source_quality_flag,source_quality_issue,turn_id,turn,speaker_id,n_chars,n_words,lexical_entropy,mattr,surprisal_mean,surprisal_sent_max,sem_dist_partner,sem_dist_self,CR01_avg,CR02_avg,CR03_avg,cr_turn_composite,ct_analysis,ct_evaluation,ct_reasoning,ct_composite,CR01_R1,CR01_R2,CR02_R1,CR02_R2,CR03_R1,CR03_R2,CT01_R1,CT01_R2,CT02_R1,CT02_R2,CT03_R1,CT03_R2,self_novelty,delta_surprisal,peak_break,sem_dist_partner_truncate,sem_dist_self_truncate,self_novelty_truncate,self_novelty_z,delta_surprisal_z
AI019,AI,False,none,AI019_T5,5,S01,226,119,4.259780000598986,0.9490909090909092,3.0645904892726854,3.3893866185098886,0.1595640182532516,0.1786196670857672,2.5,2.5,1.5,6.5,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,4,4,4,4,4,4,0.1786196670857672,0.2145192319795641,-0.1352439872686255,0.1595640182532516,0.1786196670857672,0.1786196670857672,-0.09089526272827662,0.6052921092084101
AI019,AI,False,none,AI019_T7,7,S01,288,146,4.425339901521541,0.9591240875912412,2.830866575988704,2.9128886864123427,0.3324794239143133,0.1943095637753421,2.5,2.0,2.0,6.5,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4,4,4,4,4,4,0.1524103274344465,-0.2337239132839812,-0.3689679005526067,0.3324794239143133,0.1943095637753421,0.1524103274344465,-0.9834316906132968,-0.8683486000785116
AI019,AI,False,none,AI019_T9,9,S01,305,157,4.486859007928276,0.9689189189189188,2.8836645377853087,3.253821254742366,0.2497991776566954,0.1765681322293941,2.5,3.0,1.5,7.0,4.0,4.0,4.5,4.17,3.0,2.0,3.0,3.0,2.0,1.0,4,4,4,4,4,5,0.1765681322293941,0.0527979617966045,-0.3161699387560022,0.2497991776566954,0.1765681322293941,0.1765681322293941,-0.16075851059139437,0.07361850791088582
AI019,AI,False,none,AI019_T11,11,S01,266,135,4.429809910619383,0.973015873015873,3.2463275285592923,3.379810538356872,0.2062065068523118,0.2364295340022278,3.0,3.0,2.0,8.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4,4,4,4,4,4,0.1328612616393564,0.3626629907739835,0.0464930520179813,0.2062065068523118,0.2364295340022278,0.1328612616393564,-1.6491582440237982,1.0923283887211348
AI019,AI,False,none,AI019_T13,13,S01,241,116,4.383269327922024,0.983177570093458,3.317427113615111,3.461484246842918,0.3166898130890981,0.2136094042239785,2.5,3.0,2.0,7.5,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,4,4,4,4,4,4,0.1732735079613179,0.0710995850558191,0.0710995850558191,0.3166898130890981,0.2136094042239785,0.1732735079613179,-0.2729540948591517,0.13378678346801448
AI019,AI,False,none,AI019_T15,15,S01,211,106,4.239514715778956,0.979381443298969,3.167748817874258,3.252108367744322,0.264560244785312,0.3018193013375646,2.5,3.0,2.5,8.0,4.0,4.0,4.5,4.17,3.0,2.0,3.0,3.0,3.0,2.0,4,4,4,4,4,5,0.2329149560745084,-0.1496782957408533,-0.1496782957408533,0.264560244785312,0.3018193013375646,0.2329149560745084,1.7580839152936296,-0.5920408756717217
AI019,AI,False,none,AI019_T17,17,S01,158,75,3.8935195299178784,0.946969696969697,2.9224889773068967,3.532966424478218,0.2365248340190602,0.3356477603858842,2.0,3.0,3.0,8.0,3.5,4.0,4.0,3.83,2.0,2.0,3.0,3.0,3.0,3.0,3,4,4,4,4,4,0.1844519962888366,-0.2452598405673614,-0.3949381363082147,0.2365248340190602,0.3356477603858842,0.1844519962888366,0.10771967158178057,-0.9062740256958238
AI019,AI,False,none,AI019_T19,19,S01,175,93,4.124500612572594,0.973809523809524,3.4734806281955617,3.650967631627012,0.1974710221537343,0.2323456131684403,2.5,2.0,3.0,7.5,2.5,3.0,3.5,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2,3,3,3,3,4,0.1894959807442273,0.550991650888665,0.1560535145804502,0.1974710221537343,0.2323456131684403,0.1894959807442273,0.2794882063107784,1.7114762400670405
AI020,AI,False,none,AI020_T1,1,S01,154,73,3.673333239717683,0.93125,2.705937583379083,4.596983472040544,,,3.0,2.0,1.5,6.5,1.5,1.0,2.5,1.67,3.0,3.0,2.0,2.0,2.0,1.0,2,1,1,1,2,3,,,,,,,,
AI020,AI,False,none,AI020_T3,3,S01,75,38,3.4186975763916663,0.9758620689655172,2.980944745556411,3.091374196544556,0.2709336245118922,0.3165965988648914,2.0,2.0,1.0,5.0,3.0,2.0,2.5,2.5,2.0,2.0,2.0,2.0,1.0,1.0,3,3,2,2,2,3,0.3165965988648914,0.275007162177328,0.275007162177328,0.2709336245118922,0.3165965988648914,0.3165965988648914,0.9712524480369762,0.3536323439603356
AI020,AI,False,none,AI020_T5,5,S01,91,45,3.610195505092899,0.9777777777777776,2.6143609969544093,2.7061596782387873,0.2761861673774882,0.2518077697434686,2.0,2.5,1.0,5.5,3.0,2.5,3.0,2.83,2.0,2.0,3.0,2.0,1.0,1.0,3,3,3,2,3,3,0.2518077697434686,-0.3665837486020016,-0.3665837486020016,0.2761861673774882,0.2518077697434686,0.2518077697434686,-1.4552147036274543,-1.0124202753979885
AI020,AI,False,none,AI020_T7,7,S01,104,52,3.754564705665971,0.9767441860465116,3.1595773480512435,3.6367999610180655,0.266319086238328,0.319435920469718,2.5,2.0,2.0,6.5,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,3,3,3,3,3,3,0.2927690784062523,0.5452163510968342,0.1786326024948326,0.266319086238328,0.319435920469718,0.2927690784062523,0.07886565107628786,0.9289521686283876
AI020,AI,False,none,AI020_T9,9,S01,94,51,3.629223906400942,0.9523809523809524,3.2942718788178573,3.4717361296172298,0.3535345868561192,0.3241396090194409,2.0,1.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3,3,3,3,3,3,0.3241396090194409,0.1346945307666138,0.1346945307666138,0.3535345868561192,0.3241396090194409,0.3241396090194409,1.253752789729888,0.05488366400344299
AI020,AI,False,none,AI020_T11,11,S01,85,45,3.4985970761881218,0.9499999999999998,2.758272169034899,2.783415929414332,0.4091022023438938,0.4694195509473745,2.0,2.5,3.0,7.5,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3,3,3,3,3,3,0.2788012331452502,-0.5359997097829585,-0.5359997097829585,0.4091022023438938,0.4694195509473745,0.2788012331452502,-0.4442572107651314,-1.3731347332310007
AI020,AI,False,none,AI020_T13,13,S01,82,40,3.5371688144078344,0.967741935483871,3.3594422338602064,3.67195126414299,0.2560493776317397,0.333039975250015,2.0,2.5,1.5,6.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,3,3,3,3,3,3,0.2798654834730961,0.6011700648253075,0.065170355042349,0.2560493776317397,0.333039975250015,0.2798654834730961,-0.4043989744505579,1.0480868320368228
AI024,AI,False,none,AI024_T2,2,S02,98,48,3.5714886826794863,0.976923076923077,2.8365011533190096,3.44428254570812,0.2846423298116697,,3.0,2.5,1.0,6.5,3.5,3.0,4.0,3.5,3.0,3.0,2.0,3.0,1.0,1.0,4,3,3,3,4,4,,,,0.2846423298116697,,,,
AI024,AI,False,none,AI024_T4,4,S02,100,48,3.744775477819472,0.9948717948717948,2.6568568406805424,4.145884409546852,0.4901114738411127,0.4783195148641747,2.5,2.0,2.5,7.0,4.0,3.0,4.0,3.67,3.0,2.0,2.0,2.0,3.0,2.0,4,4,3,3,4,4,0.4783195148641747,-0.1796443126384672,-0.1796443126384672,0.4901114738411127,0.4783195148641747,0.4783195148641747,1.828611540376937,-0.8254883855196649
AI024,AI,False,none,AI024_T6,6,S02,97,50,3.70747683199607,0.975609756097561,3.1878278036525503,4.4368940989176435,0.2761616602288563,0.4916025410214911,3.0,2.0,1.0,6.0,4.0,3.5,4.0,3.83,3.0,3.0,2.0,2.0,1.0,1.0,4,4,4,3,4,4,0.4298502839202456,0.5309709629720079,0.3513266503335406,0.2761616602288563,0.4916025410214911,0.4298502839202456,0.9957217357668233,2.0881915910552666
AI024,AI,False,none,AI024_T8,8,S02,98,48,3.715894345296141,0.9897435897435898,3.3025461274191295,5.145910167694092,0.2725632097333178,0.3989939301352176,3.0,2.0,1.0,6.0,4.0,3.0,4.0,3.67,3.0,3.0,2.0,2.0,1.0,1.0,4,4,3,3,4,4,0.3989939301352176,0.1147183237665792,0.1147183237665792,0.2725632097333178,0.3989939301352176,0.3989939301352176,0.4654896282113495,0.3814636024014738
AI024,AI,False,none,AI024_T10,10,S02,113,61,3.747549196753883,0.9730769230769232,3.094004626197549,4.283558829625448,0.3443003162510624,0.4626582912147395,3.0,2.0,2.0,7.0,4.0,4.0,4.5,4.17,3.0,3.0,2.0,2.0,2.0,2.0,4,4,4,4,4,5,0.3456078969064028,-0.2085415012215805,-0.2085415012215805,0.3443003162510624,0.4626582912147395,0.3456078969064028,-0.45188995299749846,-0.9439732572128534
